class name: scp 	 label: 0 	 no. packet: 7000
class name: skype 	 label: 1 	 no. packet: 7000
class name: sftp 	 label: 2 	 no. packet: 7000
class name: aimchat 	 label: 3 	 no. packet: 7000
class name: facebook 	 label: 4 	 no. packet: 7000
class name: ftps 	 label: 5 	 no. packet: 7000
class name: netflix 	 label: 6 	 no. packet: 7000
class name: icq 	 label: 7 	 no. packet: 7000
class name: hangouts 	 label: 8 	 no. packet: 7000
class name: spotify 	 label: 9 	 no. packet: 7000
class name: gmail 	 label: 10 	 no. packet: 7000
class name: voipbuster 	 label: 11 	 no. packet: 7000
class name: bittorrent 	 label: 12 	 no. packet: 7000
class name: youtube 	 label: 13 	 no. packet: 7000
class name: email 	 label: 14 	 no. packet: 7000
class name: vimeo 	 label: 15 	 no. packet: 7000
Initial val. accuracy on unseen test data (not validation dataset): 95.9107%
Random Seed: 2024
-------------------- Start searching for the pruning and quantization policies ----------------------------------------
Saving state_dict checkpoint with masks for finetuning at networks/quantized_models/iscx2016vpn/CNN1D_TrafficClassification_iscx2016vpn.pt
Saving best model in onnx at networks/quantized_models/iscx2016vpn/model.onnx
Best accuracy is 51.10% with FLOPs reduction of 86.673665% from baseline model
Episode 1 	 Avg length: 0 	 Avg reward: 51 	 Elapsed time 6.364
Episode 2 	 Avg length: 1 	 Avg reward: 17 	 Elapsed time 5.474
Episode 3 	 Avg length: 0 	 Avg reward: 34 	 Elapsed time 5.505
Episode 4 	 Avg length: 0 	 Avg reward: 15 	 Elapsed time 5.369
Episode 5 	 Avg length: 0 	 Avg reward: 10 	 Elapsed time 5.433
Episode 6 	 Avg length: 0 	 Avg reward: 12 	 Elapsed time 5.471
Episode 7 	 Avg length: 0 	 Avg reward: 11 	 Elapsed time 5.423
Episode 8 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.093
Episode 9 	 Avg length: 0 	 Avg reward: 9 	 Elapsed time 4.998
Episode 10 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 4.978
Episode 11 	 Avg length: 0 	 Avg reward: 12 	 Elapsed time 4.934
Episode 12 	 Avg length: 0 	 Avg reward: 10 	 Elapsed time 5.013
Episode 13 	 Avg length: 0 	 Avg reward: 11 	 Elapsed time 4.993
Episode 14 	 Avg length: 0 	 Avg reward: 10 	 Elapsed time 4.991
Episode 15 	 Avg length: 0 	 Avg reward: 9 	 Elapsed time 4.939
Episode 16 	 Avg length: 0 	 Avg reward: 11 	 Elapsed time 4.987
Episode 17 	 Avg length: 0 	 Avg reward: 11 	 Elapsed time 4.979
Episode 18 	 Avg length: 0 	 Avg reward: 10 	 Elapsed time 4.985
Episode 19 	 Avg length: 0 	 Avg reward: 8 	 Elapsed time 4.932
Episode 20 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 4.993
Episode 21 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 4.979
Episode 22 	 Avg length: 0 	 Avg reward: 11 	 Elapsed time 4.922
Episode 23 	 Avg length: 0 	 Avg reward: 10 	 Elapsed time 5.054
Episode 24 	 Avg length: 0 	 Avg reward: 12 	 Elapsed time 4.939
Episode 25 	 Avg length: 0 	 Avg reward: 11 	 Elapsed time 4.987
Episode 26 	 Avg length: 0 	 Avg reward: 10 	 Elapsed time 5.007
Episode 27 	 Avg length: 0 	 Avg reward: 9 	 Elapsed time 5.045
Episode 28 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 4.918
Episode 29 	 Avg length: 0 	 Avg reward: 10 	 Elapsed time 4.988
Episode 30 	 Avg length: 0 	 Avg reward: 10 	 Elapsed time 4.979
Episode 31 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 4.936
