class name: scp 	 label: 0 	 no. packet: 7000
class name: skype 	 label: 1 	 no. packet: 7000
class name: sftp 	 label: 2 	 no. packet: 7000
class name: aimchat 	 label: 3 	 no. packet: 7000
class name: facebook 	 label: 4 	 no. packet: 7000
class name: ftps 	 label: 5 	 no. packet: 7000
class name: netflix 	 label: 6 	 no. packet: 7000
class name: icq 	 label: 7 	 no. packet: 7000
class name: hangouts 	 label: 8 	 no. packet: 7000
class name: spotify 	 label: 9 	 no. packet: 7000
class name: gmail 	 label: 10 	 no. packet: 7000
class name: voipbuster 	 label: 11 	 no. packet: 7000
class name: bittorrent 	 label: 12 	 no. packet: 7000
class name: youtube 	 label: 13 	 no. packet: 7000
class name: email 	 label: 14 	 no. packet: 7000
class name: vimeo 	 label: 15 	 no. packet: 7000
Initial val. accuracy on unseen test data (not validation dataset): 96.2768%
Random Seed: 2024
-------------------- Start searching for the pruning and quantization policies ----------------------------------------
Saving state_dict checkpoint with masks for finetuning at networks/quantized_models/iscx2016vpn/CNN1D_TrafficClassification_iscx2016vpn.pt
Saving best model in onnx at networks/quantized_models/iscx2016vpn/model.onnx
Episode 62 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.767
Episode 63 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.794
Episode 64 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.742
Episode 65 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.695
Episode 66 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.530
Episode 67 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.498
Episode 68 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.409
Episode 69 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.417
Episode 70 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.426
Episode 71 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.481
Episode 72 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.371
Episode 73 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.414
Episode 74 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.443
Episode 75 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.375
Episode 76 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.580
Episode 77 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.637
Episode 78 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.624
Episode 79 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.553
Episode 80 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.610
Episode 81 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.578
Episode 82 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.596
Episode 83 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.500
Episode 84 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.639
Episode 85 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.639
Episode 86 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.576
Episode 87 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.650
Episode 88 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.630
Episode 89 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.681
Episode 90 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.596
Episode 91 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.649
Episode 92 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.626
Episode 93 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.539
Episode 94 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.616
Episode 95 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.598
Episode 96 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.594
Episode 97 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.592
Episode 98 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.632
Episode 99 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.605
-*-*-*-*-*-*-*-*-*-* start training the RL agent -*-*-*-*-*-*-*-*-*-*
Epoches 0 	 loss: 0.3683491051197052 	 
Epoches 5 	 loss: 0.3683491051197052 	 
-*-*-*-*-*-*-*-*-*-* start search the pruning policies -*-*-*-*-*-*-*-*-*-*
Episode 100 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.770
Episode 101 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.578
Episode 102 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.534
Episode 103 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.602
Episode 104 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.589
